127.0.0.1 - - [13/Apr/2020:09:45:16 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:17:59 +0900] "GET /WebClient/images/button.png HTTP/1.1" 200 3539
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:18:43 +0900] "GET /WebClient/Ex14_Form_Submit.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:18:43 +0900] "GET /WebClient/images/button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:19:11 +0900] "GET /WebClient/Ex14_Form_Submit.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:19:11 +0900] "GET /WebClient/images/button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:38:34 +0900] "GET /WebClient/Ex15_form_inputTag.html HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:38:42 +0900] "GET /WebClient/Ex15_form_inputTag.html HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:40:09 +0900] "GET /WebClient/Ex15_form_inputTag.html HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:43:46 +0900] "GET /WebClient/Ex15_form_inputTag.html HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:45:51 +0900] "GET /WebClient/Ex15_form_inputTag.html HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:47:03 +0900] "GET /WebClient/Ex15_form_inputTag.html HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:47:04 +0900] "GET /WebClient/Ex15_form_inputTag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:47:05 +0900] "GET /WebClient/Ex15_form_inputTag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:56:48 +0900] "GET /WebClient/Ex15_form_inputTag.html HTTP/1.1" 200 2558
0:0:0:0:0:0:0:1 - - [13/Apr/2020:11:59:06 +0900] "GET /WebClient/Ex15_form_inputTag.html HTTP/1.1" 200 3010
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:02:11 +0900] "GET /WebClient/Ex15_form_inputTag.html HTTP/1.1" 200 3365
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:02:59 +0900] "GET /WebClient/Ex15_form_inputTag.html HTTP/1.1" 200 3415
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:04:29 +0900] "GET /WebClient/Ex15_form_inputTag.html HTTP/1.1" 200 3629
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:06:03 +0900] "GET /WebClient/Ex15_form_inputTag.html HTTP/1.1" 200 3794
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:07:45 +0900] "GET /WebClient/Ex15_form_inputTag.html HTTP/1.1" 200 4034
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:10:39 +0900] "GET /WebClient/Ex15_form_inputTag.html HTTP/1.1" 200 4315
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:10:39 +0900] "GET /WebClient/images/button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:10:42 +0900] "GET /WebClient/Ex15_form_inputTag.html?userid=&pwd=&data=%EC%B4%88%EA%B8%B0%EA%B0%92&data2=hong&sports_1=A&year=2019&items=02&gender=1&hdata=1000&upload=&content=%EC%9E%85%EB%A0%A5%EB%8D%B0%EC%9D%B4%ED%84%B0&x=217&y=63 HTTP/1.1" 200 4315
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:11:13 +0900] "GET /WebClient/Ex15_form_inputTag.html?userid=&pwd=&data=%EC%B4%88%EA%B8%B0%EA%B0%92&data2=hong&sports_1=A&year=2019&items=02&gender=1&hdata=1000&upload=&content=%EC%9E%85%EB%A0%A5%EB%8D%B0%EC%9D%B4%ED%84%B0sdgsdgsdgsdgsdgsdg HTTP/1.1" 200 4315
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:11:25 +0900] "GET /WebClient/Ex15_form_inputTag.html?userid=&pwd=&data=%EC%B4%88%EA%B8%B0%EA%B0%92&data2=hong&sports_1=A&year=2019&items=02&gender=1&hdata=1000&upload=&content=%EC%9E%85%EB%A0%A5%EB%8D%B0%EC%9D%B4sdgsdgsdgsdgsdgsdgsdgsdgsdgsdgsdgsdgsdgsdgdg%ED%84%B0&x=140&y=93 HTTP/1.1" 200 4315
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:11:27 +0900] "GET /WebClient/Ex15_form_inputTag.html?userid=&pwd=&data=%EC%B4%88%EA%B8%B0%EA%B0%92&data2=hong&sports_1=A&year=2019&items=02&gender=1&hdata=1000&upload=&content=%EC%9E%85%EB%A0%A5%EB%8D%B0%EC%9D%B4%ED%84%B0sdgsdgsdgsdg&x=146&y=64 HTTP/1.1" 200 4315
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:11:33 +0900] "GET /WebClient/Ex15_form_inputTag.html?userid=&pwd=&data=%EC%B4%88%EA%B8%B0%EA%B0%92&data2=hong&sports_1=A&year=2019&items=02&gender=1&hdata=1000&upload=&content=%EC%9E%85%EB%A0%A5%EB%8D%B0%EC%9D%B4%ED%84%B0&x=161&y=92 HTTP/1.1" 200 4315
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:11:40 +0900] "GET /WebClient/Ex15_form_inputTag.html?userid=&pwd=&data=%EC%B4%88%EA%B8%B0%EA%B0%92&data2=hong&sports_1=A&year=2019&items=02&gender=1&hdata=1000&upload=&content=%EC%9E%85%EB%A0%A5%EB%8D%B0%EC%9D%B4%ED%84%B0sdgsdgsdg&x=193&y=50 HTTP/1.1" 200 4315
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:11:43 +0900] "GET /WebClient/Ex15_form_inputTag.html?userid=&pwd=&data=%EC%B4%88%EA%B8%B0%EA%B0%92&data2=hong&sports_1=A&year=2019&items=02&gender=1&hdata=1000&upload=&content=%EC%9E%85%EB%A0%A5%EB%8D%B0%EC%9D%B4%ED%84%B0sdgsdg HTTP/1.1" 200 4315
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:21:19 +0900] "GET /WebClient/Ex15_form_inputTag.html?userid=&pwd=&data=%EC%B4%88%EA%B8%B0%EA%B0%92&data2=hong&sports_1=A&year=2019&items=02&gender=1&hdata=1000&upload=&content=%EC%9E%85%EB%A0%A5%EB%8D%B0%EC%9D%B4%ED%84%B0sdgsdg HTTP/1.1" 200 4672
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:21:19 +0900] "GET /WebClient/images/button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:22:07 +0900] "GET /WebClient/Ex15_form_inputTag.html?userid=&pwd=&data=%EC%B4%88%EA%B8%B0%EA%B0%92&data2=hong&sports_1=A&year=2019&items=02&gender=1&hdata=1000&upload=&content=%EC%9E%85%EB%A0%A5%EB%8D%B0%EC%9D%B4%ED%84%B0sdgsdg HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:42:39 +0900] "GET /WebClient/Ex16_Form_InputTag_Html5.html HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:42:46 +0900] "GET /WebClient/Ex16_Form_InputTag_Html5.html HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:47:47 +0900] "GET /WebClient/Ex16_Form_InputTag_Html5.html HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:55:43 +0900] "GET /WebClient/Ex16_Form_InputTag_Html5.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:57:24 +0900] "GET /WebClient/Ex16_Form_InputTag_Html5.html HTTP/1.1" 200 1403
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:57:26 +0900] "GET /WebClient/Ex16_Form_InputTag_Html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:57:26 +0900] "GET /WebClient/Ex16_Form_InputTag_Html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:57:27 +0900] "GET /WebClient/Ex16_Form_InputTag_Html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:57:27 +0900] "GET /WebClient/Ex16_Form_InputTag_Html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:57:27 +0900] "GET /WebClient/Ex16_Form_InputTag_Html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:12:57:28 +0900] "GET /WebClient/Ex16_Form_InputTag_Html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:14:36:39 +0900] "GET /WebClient/Ex14_Form_Submit.html HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [13/Apr/2020:14:36:39 +0900] "GET /WebClient/images/button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:14:49:36 +0900] "GET /WebClient/Ex17_Css_Selector.html HTTP/1.1" 200 1515
0:0:0:0:0:0:0:1 - - [13/Apr/2020:14:49:44 +0900] "GET /WebClient/Ex17_Css_Selector.html HTTP/1.1" 200 1515
0:0:0:0:0:0:0:1 - - [13/Apr/2020:14:52:10 +0900] "GET /WebClient/Ex17_Css_Selector.html HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [13/Apr/2020:14:58:23 +0900] "GET /WebClient/Ex17_Css_Selector.html HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [13/Apr/2020:15:00:50 +0900] "GET /WebClient/Ex17_Css_Selector.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:15:00:51 +0900] "GET /WebClient/Ex17_Css_Selector.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:15:00:58 +0900] "GET /WebClient/Ex17_Css_Selector.html HTTP/1.1" 200 2273
0:0:0:0:0:0:0:1 - - [13/Apr/2020:15:07:59 +0900] "GET /WebClient/Ex17_Css_Selector.html HTTP/1.1" 200 2786
0:0:0:0:0:0:0:1 - - [13/Apr/2020:15:08:35 +0900] "GET /WebClient/Ex17_Css_Selector.html HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [13/Apr/2020:15:25:49 +0900] "GET /WebClient/Ex03_Basic_Css.html HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [13/Apr/2020:15:25:49 +0900] "GET /WebClient/css/common.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [13/Apr/2020:15:53:57 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [13/Apr/2020:15:58:04 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [13/Apr/2020:15:58:12 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [13/Apr/2020:15:58:30 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [13/Apr/2020:15:58:43 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:02:17 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:02:52 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:03:10 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:03:30 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:03:43 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:03:48 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:04:32 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:04:43 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:05:46 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:06:17 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:06:18 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:06:42 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:07:11 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:07:35 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:08:29 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:08:44 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:09:08 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:09:58 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:10:02 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:10:12 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:11:08 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:11:09 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:11:09 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:11:29 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:11:45 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:13:40 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:13:49 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 802
192.168.0.12 - - [13/Apr/2020:16:18:15 +0900] "GET /WebClient/Ex20_Css_Page_layout.html HTTP/1.1" 404 789
192.168.0.12 - - [13/Apr/2020:16:18:15 +0900] "GET /favicon.ico HTTP/1.1" 404 761
192.168.0.12 - - [13/Apr/2020:16:18:31 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:32:08 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:34:12 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:34:47 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:35:41 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:35:42 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:36:11 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:36:28 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:36:53 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:36:54 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:37:32 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:37:32 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:37:32 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:37:32 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:37:37 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:37:37 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:37:37 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:37:38 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:38:49 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:38:50 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:38:50 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:38:50 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:38:51 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:38:51 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:38:51 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:38:51 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:38:51 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:38:52 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:38:52 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:38:52 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:38:53 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:38:53 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:39:19 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:39:21 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:39:21 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:39:21 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2020:16:39:21 +0900] "GET /WebClient/Ex18_.html HTTP/1.1" 304 -
